text,label
hoạt động thuyết trình chiếm nhiều thời gian,0
hài lòng về chất lượng đào tạo môn học này,2
bám sát nội dung môn học,2
ngôn ngữ đã được học từ môn lập trình nhúng do mong dạy kiến thức mới hơn,0
đảm bảo giờ học tiết học nội dung,2
báo cáo đồ án cuối kỳ do sự phân công trong một nhóm ai cũng có điểm yếu điểm mạnh nên mới tạo thành một nhóm giúp đỡ nhau nhưng làm khó các thành viên,0
cần có nền tảng trước xây dựng cả một website,0
ít bài tập hay,0
đúng anh văn rất cần thiết chúng nhưng không phải những gì cần một môn ngoại ngữ cần cảm giác thích thú học tiếng anh,0
đảm bảo giờ giấc lên lớp,2
khả năng truyền đạt chưa tốt,0
nhiệt tình dễ hiểu đúng giờ,2
cơ sở vật chất trường còn khá kém thiếu các hoạt động ngoại khóa,0
chia sẻ các kỹ năng làm việc chia sẻ kinh nghiệm trong ngành thậm chí chỉ cách mua linh kiện không bị chặt chém giá cả,2
không nhiệt tình phương pháp truyền đạt kiến thức gây khó hiểu,0
cách dạy hay tạo động lực,2
ít giảng chủ yếu chép vào vở,0
không nên nói bồi nói đan xen quá nhiều tiếng anh vào trong bào giảng thế rất khó hiểu không hiểu rõ nghĩa từ gì,0
hòa đồng vui vẻ,2
giảng bài kỹ dễ hiểu,2
nên giảng dạy chi tiết hơn,0
tạo ra sự ganh đua trong mỗi buổi thực hành,0
giảng buồn ngủ,0
dạy giỏi quan tâm tới,2
dạy hay,2
dạy nhàm chán buồn ngủ,0
rất hiền nhiệt tình,2
tiết cuối ôn bài không đề mẫu cuối kỳ,0
khả năng truyền đạt không được tốt lắm,0
dạy cực kỳ nhiệt tình hiểu tâm lý cách giảng bài hay,2
từ bọn khó có được nhiều kiến thức về môn học này,0
đảm bảo thời gian lên lớp tốt chấm điểm công bằng,2
nói lan man,0
nhiệt tình dễ hiểu dễ thương,2
thường xuyên lên lớp rất muộn không cung cấp đề cương môn học chấm điểm chủ quan thường xuyên nặng lời,0
có nhiều phương pháp giảng dạy hay nhiều cách giúp hoàn thành bài tốt,2
nên tăng cường các bài tập về nhà,0
giảng dạy hay dễ hiểu,2
giống không muốn nghe nữa thời gian báo cáo phút nhưng chưa kịp nói gì nói chuyển được khoảng phút xong không báo cáo nữa,0
kiến thức hơi nhiều,0
chưa thật sự vững ngữ pháp,0
dạy rất có tâm chuyên môn tốt smile,2
kéo dài thời gian buổi học phút nhưng không làm buổi học thêm hiệu quả,0
liên hệ kiến thức chuyện thực tiễn,2
giảng dạy nhiệt tình phát âm rất tốt ngữ pháp rất chuẩn,2
tại sao,1
môn học này không cần thiết nó không cung cấp được điều gì rõ ràng bổ ích,0
dạy rất kỹ,2
môn học nên tự chọn thay bắt buộc,0
tận tâm giúp đỡ không hiểu bài,2
các hoạt động giảng dạy trên lớp khá phong phú hay,2
cần nên bài tập về nhà,0
đa phần không tập trung học nhiệt tình nên không theo kịp,0
theo hơi thụ động một tí,0
tài liệu bằng tiếng việt,1
thường nghỉ đột xuất nhiều phương pháp dạy chưa cuốn hút khiến chưa thể tập trung vào việc học,0
rất hòa đồng vui vẻ nhiệt tình trong giảng dạy,2
nhiều bài tập hay,2
biết lắng nghe ý kiến từ,2
vui vẻ nhiệt tình thân thiện,2
giảng dạy rất nhiệt tình kiến thức sâu rộng,2
nói nhiều trên tài liệu có nhiều ví dụ cụ thể dễ hiểu hơn,0
kinh mong nhà trường làm rõ việc này đảm bảo công bằng,0
thời gian deadline lâu rất thích,2
dạy tốt giảng dễ hiểu,2
bảo đảm giờ lên lớp số tiết dạy,2
nên có bài viết hoặc bài tiểu luận mỗi tuần trên khóa học thực tập,0
nói chung lần nữa,2
chuyên nghiệp trong cách giảng dạy rất nhiệt tâm,2
trong thời gian báo cáo không lắng nghe góp ý hỏi những câu ví dụ chỉ có thôi hả còn gì nữa không,0
nhiệt tình giúp đỡ,2
cực nhiệt tình thương giảng dễ hiểu,2
tận tình hay giúp đỡ,2
nhiệt tình dạy dễ hiểu,2
nên thực hành theo hình thức,0
ra hiền chăm lo,2
phòng thực hành có rất nhiều máy bị hư hỏng không thể sử dụng chuột được phiên bản cũ quá không còn phù hợp học tập nữa,0
nâng cao chất lượng cơ sở vật chất trường,0
sử dụng kiến thức có tính thực tiễn cao hơn kiến thức có thể áp dụng vào trong thực tiễn,0
phong cách dạy hiệu quả,2
có những hoạt động giúp giờ động,2
giúp biết mạch số gì,2
cần thay đổi hệ thống máy tính ở một số phòng thực hành đã quá cũ,0
chưa thật sự dễ hiểu,0
nên cài các phiên bản mới hơn,0
nên nói chậm một tí,0
truyền đạt nhiều kiến thức mở rộng,2
tài liệu cần cập nhật hơn nữa,0
giúp xác định được mục tiêu mong muốn đạt được học môn học này,2
không nên hù dọa ở phía trước mỗi bài toán phải biến nó thành đơn giản thực thi bài toán cần phải làm những bài tập mẫu hơn mấy trăm bài tập,0
có nhiều ngại trong việc hỏi bài nên sẵn sàng giúp đỡ làm bài tập một cách nhiệt tình vui vẻ hơn đôi cần,0
truyền đạt kém khó hiểu,0
giảng dễ hiểu đơn giản ngắn gọn phần ôn tập bài cuối kỳ rất ấn tượng giúp năm bắt được học gì,2
nên chú trọng đến truyền đạt nhiều hơn,0
cần đổi máy chiếu,0
tận tâm kiến thức tốt khả năng truyền đạt tốt,2
các deadline thời gian hơi ít,0
rất dễ thương được nhiều yêu quý ạ,2
rất ít nổi nóng,1
thay đổi đề cương môn học phù hợp tình hình thực tế hiện nay có thể áp dụng liên hệ thực tế,0
trẻ thân thiện nhiệt tình,2
cần thêm nhiều video demo hướng dẫn thực hành các quy trình chất lượng học môn này cao hơn,0
dạy chậm hơn tiết thực hành,0
học cực kỳ áp lực dạy khó hiểu,0
dạy sát chương trình truyền đạt được kiến thức,2
nhiệt tình quan tâm đến hiền,2
thân thiện giải đáp thắc mắc định hướng nghiên cứu một cách nhiệt tình,2
giọng nghe không được,0
về phương pháp giảng dạy cách truyền đạt,1
bài tập làm không chắc chắn không biết đúng hay sai,0
giảng rất cận kẽ hơi chậm,0
tận tâm dạy hết tất cả mọi thứ có,2
dạy hay tiết học sôi động vui nhộn nhưng vẫn đảm bảo kiến thức dành,2
sửa chữa những thiết bị máy tính hư trong phòng máy,0
chưa gặp lần nào,1
ngoài ra còn nói về một số kiến thức thực tế liên quan đến môn học,2
dạy dễ hiểu quan tâm đến,2
bài giảng mang tính thực tiễn ứng dụng cao,2
đề nghị nên sử dụng hệ thống nhiều hơn,0
đưa ra nhiều ví dụ cụ thể minh họa bài giảng giúp phân biệt rõ các khái niệm nắm bắt bài học,2
học bên về nên dạy tiếng anh rất tốt,2
vui tính dễ chịu,2
giảng bài dễ tiếp thu,2
cần thể hiện chi tiết hơn nội dung môn học nhiều ví dụ minh họa hơn,0
dạy hay rất đúng giờ dạy học,2
giọng to rõ ràng dễ nghe ở dưới nước,2
có thêm nhiều tài liệu thực hành hơn,0
giảng tận tình,2
nhiệt tình đúng giờ thân thiện,2
dạy rất hay dễ hiểu sôi động điểm nhỏ chỉ đề thi khó hơn đề mọi năm,2
gửi email nhưng có lẽ bận nên không thấy trả lời,0
truyền đạt dễ hiểu tận tình,2
cách giảng bài chưa thu hút được nhiều,0
ngoài ra còn rất rất nhiều mặt tốt không thể kể hết,2
nhiệt tình chỉ dạy tận tình,2
giảng bài hơi khó hiểu không có tài liệu tham khảo trên,0
giảng bài rất nhiệt tình,2
cung cấp tài liệu rất đầy đủ tận tụy,2
thân thiện dễ tiếp thu hơn,0
cần có tài liệu bài bản rõ ràng,0
giảng bài làm hứng thú dễ tiếp thu,2
dạy nhiệt tình giảng bài chi tiết,2
toàn bộ các đều phải tự mang laptop lên phòng thực hành học nhiên mạng đáp ứng nhu cầu sử dụng nhiều laptop trong phòng thực hành không có,0
nghĩ không nên chấm chéo đồ án mỗi người một kiểu hầu hết ai cũng lo đồ án nên việc chấm chéo diễn ra rất khó khăn gấp gáp nên chấm có thể không chính xác mấy,0
dạy chưa tập trung dạy thực hành không giảng giải nội dung thực hành,0
nên nói trước về cách chấm điểm bài thi,0
chu đáo nhiệt tình trong giảng dạy,2
cách dạy khó hiểu,0
không ôn tập cũng cấu trúc đề thi,0
mong muốn chứ không phải không hài lòng,1
chưa tận tụy,0
học ngồi ở nhà lên mạng làm bài cũng được,0
bận nhiều nên cũng nghỉ nhiều hi vọng có thể sắp xếp thời gian,0
thích cách dạy,2
giảng rõ ràng dễ hiểu,2
luôn vui vẻ tận tình giúp đỡ,2
nên chú trọng vào việc giảng hơn,0
tận tình truyền đạt kiến thức biết cách làm lớp học không bị nhàm chán giúp có hứng thú học hơn ngoài ra còn có các trò chơi áp dụng kiến thức giúp hiểu hơn về vấn đề mới học,2
không được cung cấp nhiều tài liệu môn học ngoài tài liệu cung cấp,0
buổi chiều nên học lúc,0
chưa có gặp lần nào nữa ạ,0
vui vẻ giảng dạy tận tâm,2
nên có thêm nhiều buổi thực hành về website,0
đầu học kỳ có thông báo cuối kỳ làm đồ án nhưng đến giờ sắp cuối kỳ không hề có thông tin gì về đề tài đồ án cuối kỳ,0
cực kỳ nhiều bài cực kỳ khó luôn,0
làm bị thiệt thòi,0
dạy tận tình truyền đạt tốt,2
hy vọng cải tiến làm hoạt động sôi nổi hơn,0
có nhiều bài tập hay rèn luyện kỹ năng tốt,2
truyền đạt đúng những mục đích các buổi học,2
dạy rất nhiệt tình tận tâm cách dạy dễ hiểu,2
cố chấp,0
vui tính có sửa bài tập đầy đủ,2
nhiệt tình tận tâm,2
truyền đạt kiến thức tốt dễ hiểu,2
rất ít người học thực hành môn cấu trúc dữ liệu giải thuật,0
lượng kiến thức cần học quá dài khó tiếp thu,0
dạy đôi hơi chán cần thay đổi phương pháp giảng dạy,0
cần có tài liệu đọc thêm tự học,0
rất tốt truyền đạt đầy đủ kiến thức tới,2
chất lượng môn học rất tốt,2
chương trình học khá nặng so khoa khác seminar bài tập về nhà đồ án lớn thi cuối kỳ,0
hoạt động giảng dạy logic dễ hiểu không có gì ý kiến,2
giảng siêu hay,2
