text,label
tài liệu tài liệu đầy đủ,[0. 0. 1.]
nhiệt tình giảng dạy gần gũi,[0. 0. 1.]
đi học đầy đủ điểm chuyên cần,[1. 0. 0.]
chưa áp dụng công nghệ thông tin các thiết bị hỗ trợ việc giảng dạy,[1. 0. 0.]
giảng bài hay có nhiều bài tập ví dụ ngay trên lớp,[0. 0. 1.]
đảm bảo thời gian lên lớp tích cực trả lời câu hỏi thường xuyên đặt câu hỏi,[0. 0. 1.]
nợ môn này học ở các học kỳ kế tiếp,[0. 1. 0.]
thời lượng học quá dài không đảm bảo tiếp thu hiệu quả,[1. 0. 0.]
nội dung môn học có phần thiếu trọng tâm hầu chung chung khái quát khiến rất khó nắm được nội dung môn học,[1. 0. 0.]
cần nói rõ hơn bằng cách trình bày lên bảng thay nhìn vào tài liệu,[1. 0. 0.]
rất tận tình đi dạy rất đúng giờ,[0. 0. 1.]
dễ bị áp lực,[1. 0. 0.]
đang dạy đi qua nước ngoài giữa chừng dạy thay,[0. 1. 0.]
môn học còn dễ cần nâng độ khó lên nữa,[1. 0. 0.]
có thể đi thăm quan nhiều công ty xem quy mô cách làm việc giúp hiểu rõ hơn vê ngành đang học,[1. 0. 0.]
hài lòng về tất cả,[0. 0. 1.]
nhiệt tình vui vẻ,[0. 0. 1.]
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập,[0. 0. 1.]
phong cách giảng bài rất gần gũi,[0. 0. 1.]
giảng dạy kết hợp các hoạt động giải trí có hiệu quả,[0. 0. 1.]
cần tạo các buổi seminar có thể hiểu sâu thêm về các vấn đề trong chuyên ngành không có trong môn học,[1. 0. 0.]
tiết học thoải mái,[0. 0. 1.]
nhiệt tình quan tâm tới,[0. 0. 1.]
giảng dạy nhiệt tình hướng dẫn chi tiết đến lúc hiểu,[0. 0. 1.]
chưa có nhiều tiết làm bài tập chữa bài tập trên lớp,[1. 0. 0.]
tài liệu được bổ sung nhiều đầy đủ trên,[0. 0. 1.]
phải nên ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập nhiều lần tạo cảm giác chán,[1. 0. 0.]
nên biên soạn tài liệu chính trường ta,[1. 0. 0.]
không giúp đỡ trong những vấn đề xung quanh,[1. 0. 0.]
bài tập đa dạng cụ thể,[0. 0. 1.]
nội dung yêu câu seminar hầu không có tài liệu tham khảo rất ít ứng dụng trong thực tế đề nghị có sự thay đổi trong những năm học tới,[1. 0. 0.]
tài liệu up đầy đủ trước mỗi buổi học,[0. 0. 1.]
nội dung giảng dạy quá nhàm chán khô khan,[1. 0. 0.]
lượng kiến thức quá nhiều trong học kỳ,[1. 0. 0.]
chép bảng nhiều,[1. 0. 0.]
tận tình hướng dẫn cách làm giải quyết những thắc mắc,[0. 0. 1.]
chúc các anh chị làm việc vui vẻ,[0. 0. 1.]
hay nhiệt tình dễ hiểu,[0. 0. 1.]
mặc nhiệt tình truyền đạt khó hiểu sử dụng ngôn từ gây khó khăn việc hiểu bài,[1. 0. 0.]
dạy khá hay cung cấp nhiều thông tin liên quan đến môn học đưa ra nhiều hướng giải quyết gặp vấn đề khó khăn đồ án,[0. 0. 1.]
hy vọng học kỳ sau có thể học được,[0. 0. 1.]
nhiều lên lớp học môn đặc tả hình thức giống lên lớp học không biết học cái gì,[1. 0. 0.]
trong giảng nói nhỏ quá,[1. 0. 0.]
thực hành khó hiểu,[1. 0. 0.]
rất tận tâm nhiệt tình quan tâm đến giảng bài dễ hiểu kiến thức sâu rộng am hiểu cao,[0. 0. 1.]
dạy nhiệt huyết thế nào vẫn luôn mỉm cười kiên trì giảng bài đến hiểu,[0. 0. 1.]
lên lớp đúng giờ giảng bài rất dễ hiểu,[0. 0. 1.]
những thông tin cần thiết thời gian dealine cách nộp bài thường không dặn lớp thực hành thứ hai,[1. 0. 0.]
nhiệt tình dễ chịu,[0. 0. 1.]
chưa đi sâu vào bản chất vấn đề chỉ học thôi không biết bản chất nó gì nó có ứng dụng gì sau này chuyên ngành,[1. 0. 0.]
đặc biệt hơn bỏ rất nhiều công sức trong việc ra bài tập chấm điểm cách rõ ràng minh bạch,[0. 0. 1.]
rất nhiệt tình tận dụng tốt thời gian,[0. 0. 1.]
tận tâm nhiệt huyết trong giảng dạy,[0. 0. 1.]
nhiệt tình gần gũi,[0. 0. 1.]
tận tâm giảng dễ hiểu dễ tiếp thu,[0. 0. 1.]
tạo ra sự cạnh tranh trong mỗi buổi thực hành,[0. 1. 0.]
bài tập có tham khảo,[0. 0. 1.]
cần nâng cấp hệ thống wifi vào phòng thực hành không thể truy cập mạng buộc phải xin phép ra ngoài làm bài,[1. 0. 0.]
tài liệu không chi tiết lắm,[1. 0. 0.]
tận tâm nhiệt tình vui tính dễ gần,[0. 0. 1.]
dạy rất hay nhiệt tình,[0. 0. 1.]
dạy không đúng giờ không hướng dẫn thực hành,[1. 0. 0.]
giúp đỡ quá ít,[1. 0. 0.]
dạy buồn ngủ quá,[1. 0. 0.]
nên kinh mong nội dung môn học được giảm tải phù hợp hơn đặc thù trường công nghệ thông tin,[1. 0. 0.]
tận tình vui tính,[0. 0. 1.]
kiểu khó tính nữa,[1. 0. 0.]
tạo hứng thú,[0. 0. 1.]
giảng hay cuốn hút truyền đạt dễ hiểu,[0. 0. 1.]
có hứng thú học,[0. 0. 1.]
ôn tập đúng theo không biết cuối kỳ được mấy điểm,[0. 1. 0.]
hướng dẫn cụ thể chi tiết,[0. 0. 1.]
tài liệu quá ít nội dung không khác nhau mấy,[1. 0. 0.]
nghỉ dạy liên tục cuối học kỳ tăng học bù những tiết học bù ảnh hưởng đến những đồ án trễ deadline,[1. 0. 0.]
lúc dạy lúc không không dạy cũng không thông báo tốn thời gian công sức tiền bạc ngồi đợi đi về,[1. 0. 0.]
cần có phòng máy tốt hơn hiện đại hơn,[1. 0. 0.]
nên làm bài tập tương tự nhau nhiều hơn vài bài tránh tình trạng quên hoặc các dạng tựa nhau hơi khác cách làm,[1. 0. 0.]
không ngờ môn này chán đến không học được gì từ môn này dạy chán kinh khủng hay đi trễ từ phút không nhiệt tình,[1. 0. 0.]
đánh giá sai điểm năng lực,[1. 0. 0.]
không đáp ứng được đề cương môn học đề ra,[1. 0. 0.]
nên hướng dẫn thực hành nhiều hơn,[1. 0. 0.]
thân thiện quan tâm tới,[0. 0. 1.]
môn lập trình nên cập nhật thêm những nội dung mới dễ hiểu giảng giải cụ thể hơn,[1. 0. 0.]
nhiệt tình tâm huyết khả năng truyền đạt tốt,[0. 0. 1.]
dạy rất tốt nhiệt tình,[0. 0. 1.]
nói hơi nhỏ lớp ồn khó nghe,[1. 0. 0.]
bài tập đưa ra nhiều khó tìm hiểu kiến thực hiện tại khó có thể tìm hiểu làm tốt bài tập ra,[1. 0. 0.]
bài tập hoạt động nhóm còn ít,[1. 0. 0.]
rất nhiệt tình phương pháp giảng dạy hay nắm bắt kiến thức ngay trên lớp,[0. 0. 1.]
hướng dẫn thực hành khá đầy đủ,[0. 0. 1.]
được học nhiều kinh nghiệm từ,[0. 0. 1.]
kiến thức rất tốt bảo đảm giờ lên lớp,[0. 0. 1.]
hiện tại chưa thấy tác dụng gì nhiều học môn này,[1. 0. 0.]
cải thiện cơ sở vật chất máy chiếu trong phòng học,[1. 0. 0.]
dạy không phù hợp cách học,[1. 0. 0.]
giải thích nội dung mới rõ ràng,[0. 0. 1.]
lớp học quá đông,[1. 0. 0.]
môn căn bản không dạy kỹ gây không hiểu mất căn bản,[1. 0. 0.]
chưa bài tập về nhà làm nên bài mỗi chương không cần chữa chỉ cần đáp án,[1. 0. 0.]
hiện tại trường ta chưa có thiệt thòi lớn,[1. 0. 0.]
cảm thấy dạy rất tốt,[0. 0. 1.]
không biết nào dạy chính thức học thường nghỉ không thông báo trước đứng chờ sắp hết tiết tự về nhiều lần,[1. 0. 0.]
cần có sự tương tác giữa nhiều hơn,[1. 0. 0.]
thân thiện nhiệt tình cởi mở,[0. 0. 1.]
có mời các công ty về trình bày giúp cập nhật kiến thức thực tiễn,[0. 0. 1.]
coi thái độ thực hành,[1. 0. 0.]
nhiệt tình giải nhiều bài tập,[0. 0. 1.]
bài giảng rất nhiệt tình,[0. 0. 1.]
môn học chưa thực tiễn chưa thu hút,[1. 0. 0.]
dạy hơi nhanh,[1. 0. 0.]
ít làm bài tập,[1. 0. 0.]
giảng bài kém thu hút vị trí đứng giảng không hợp lý ôn tập cuối kỳ còn chưa tập trung vào vấn đề,[1. 0. 0.]
nhiệt tình bài giảng thu hút,[0. 0. 1.]
nhờ lý thuyết hiểu rõ về môn này rất nhiều,[0. 0. 1.]
môn này khá trừu tượng nên mong có nhiều liên tưởng tới thực tiễn hơn có thể hiểu,[1. 0. 0.]
cần thêm nhiều tài liệu,[1. 0. 0.]
bài tập trên lớp,[0. 1. 0.]
tăng số tiết dạy lên có nhiều cơ hội hỏi đáp thắc mắc về môn học,[1. 0. 0.]
nhiệt tình dễ hiểu,[0. 0. 1.]
thực hành lý thuyết nên dạy song song,[1. 0. 0.]
dạy nhanh,[1. 0. 0.]
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học không tốn thời gian đọc đề cũng có thể suy nghĩ cách giải cùng lúc việc nghe giảng,[1. 0. 0.]
bài tập hay,[0. 0. 1.]
cập nhật bài tập mới,[1. 0. 0.]
lên lớp ai làm việc người không có giảng gì thêm,[1. 0. 0.]
tận tâm nhiệt tình quan tâm đến,[0. 0. 1.]
phản hồi giải đáp thắc mắc,[0. 0. 1.]
dạy quá nhanh,[1. 0. 0.]
mong ban thiết bị sớm khắc phục ạ,[1. 0. 0.]
môn này cần làm đề tài áp dụng lý thuyết vào thực tiễn trên lớp chỉ học đống lý thuyết hiếm ai nhớ đa số khá buồn ngủ lên lớp,[1. 0. 0.]
nên đổi mới phương pháp giảng dạy tránh thô cứng không hấp dẫn,[1. 0. 0.]
nhiệt tình tạo cách chủ động tiếp cận môn học tham gia các chương trình phong trào liên quan nâng cao kỹ năng,[0. 0. 1.]
dạy rất tận tình dễ hiểu,[0. 0. 1.]
không đáp ứng được nhu cầu,[1. 0. 0.]
rất nhiệt tình điều này làm rất hài lòng,[0. 0. 1.]
