Token,Frequency,TF-IDF
dạy,3170,0.058576321927950724
học,2659,0.035005114203539654
bài,2337,0.04079305132896735
tình,2267,0.05409146579076314
không,2180,0.03249280056163706
giảng,2112,0.043588069393588925
có,2031,0.031036452110450547
rất,1965,0.04231510725155295
nhiệt,1931,0.04890944535982147
hiểu,1730,0.038429890536565356
nhiều,1622,0.030651607461266207
tập,1458,0.02863644692601604
dễ,1441,0.0368674899522811
thực,1435,0.024704200599220575
môn,1120,0.018330156448387605
nên,1088,0.018986597027358814
tâm,1080,0.03166811789425521
thức,1048,0.020271986517893324
được,1026,0.017367722134391105
kiến,1022,0.020549490306631606
hơn,1016,0.019970687383775394
tận,995,0.031049005067150876
hay,930,0.02546933834132896
lớp,912,0.018310005226561697
hành,893,0.017186100151852884
cần,831,0.016473136667512402
trong,816,0.01512008330976409
làm,799,0.01458499098849541
các,791,0.013329745118498467
quá,752,0.016939603486768557
tốt,746,0.02114857141779356
khó,709,0.01722754085794031
tài,705,0.014660780460645851
liệu,702,0.014553203052424683
vui,662,0.0218925467916631
về,613,0.01227389791257301
chưa,606,0.014052325477713854
cách,580,0.013391372067264895
lý,580,0.011965715387189255
truyền,577,0.0156945273717204
đạt,559,0.01522967333726687
những,559,0.009881099456131116
giờ,550,0.014027961026906463
tính,515,0.015606632745025509
thể,504,0.009468366966560985
đề,496,0.010282422315766815
thời,490,0.0101121225126957
trình,477,0.009737906422662082
dẫn,456,0.01180980349797755
nói,447,0.010573761318051957
thuyết,437,0.009557477694348655
giải,436,0.010767737523734269
lên,434,0.010442978145821106
chỉ,431,0.009215745522472039
việc,428,0.008765202547613284
đến,423,0.009859768598950845
dụng,416,0.00896359464357166
kỹ,416,0.011896058399257163
gian,408,0.008963006171149437
hơi,406,0.013208638691819874
giúp,402,0.010122812821181318
hướng,397,0.010789107523847746
dung,395,0.008910241316287065
còn,393,0.008950328495278942
tiết,388,0.010723310253356311
thêm,386,0.009483612479510167
trên,376,0.008024376725689904
nội,376,0.008573703662380838
năng,376,0.009031904339186896
tiếp,373,0.009090959350701245
này,373,0.007669537095197574
phần,368,0.007710708638185827
quan,367,0.01031532909556914
bị,361,0.007943100759502587
đủ,357,0.009805900009652884
ra,355,0.007304912157035599
phòng,345,0.007621008161532062
cũng,340,0.006817167291961119
động,333,0.00850494565091076
điểm,331,0.007178576096715091
vào,330,0.00717442489703213
quả,320,0.008480744627663116
đi,320,0.007563113534781775
tạo,312,0.007452178970840922
sự,309,0.00787482790470541
rõ,307,0.007650817620242579
thi,299,0.006760765394845492
hợp,299,0.006937788901063179
khá,298,0.009016082579483132
án,295,0.005771384463269393
máy,294,0.006736764766954044
thu,293,0.008345170943018709
phải,289,0.005496641862975364
cấp,288,0.007370922058225187
đúng,287,0.009222949616228156
vẻ,284,0.010701507494786697
