text,label
phòng thực hành có quá nhiều máy bị hỏng,0
cần biết rõ hơn nữa về cách thức vận dụng vào trong từng bài tập,0
có lúc làm bài sai nói làm hơi tự ái,0
có những cái dạy lan man ngoài phần thi không cần thiết,0
dạy dễ hiểu tận tình đảm bảo giờ lên lớp cung cấp đầy đủ kiến thức cần có,2
nhằm giảm thời lượng giảng dạy cũng sự thú vị học môn toán,0
Đó là một động lực quan trọng giúp nhóm chúng tôi hoàn thành tất cả bài tập của thầy.,1
giải đáp thắc mắc,2
dạy rất tốt,2
đã không đảm bảo giờ lên lớp ra bài thi đề cương ôn tập nên chú ý đến việc rõ ràng hướng dẫn rõ biết phải học gì,0
theo ý kiến đầu ra tốt nghiệp bằng cấp theo các chương trình ngoại ngữ bằng cấp hay nghĩ nên phần tự lo học tiếng anh tiếng anh tiếng anh phải học thêm mấy cái mất một khoảng thời gian,0
nên đảm bảo giờ trên lớp sử dụng hiệu quả tiết học,0
Đảm bảo môi trường học tập phù hợp với nhu cầu cần tỉnh táo.,1
quá chu đáo nên hay đi lòng vòng vấn đề,0
thường xuyên đi trễ vào những buổi gần cuối,0
cần phương pháp học môn này,0
thường xuyên nghĩ phải đi học bù,0
khi được đề cập thì thầy cho đó là mục tiêu cho các bạn tự tìm hiểu nhằm phát huy tốt nhất tư duy .,1
bài tập tại lớp đáp ứng nhu cầu,2
giảng bài khó hiểu không trình bày cách giải bài tập,0
nội dung đa dạng tận tình học đầy đủ chi tiết mặc môn học mới,2
em không có ý kiến về mục này .,1
giảng dễ hiểu quan tâm,2
rất nhiệt tình giảng dạy rất sẵn lòng giải đáp thắc mắc,2
không thể nghe được nói gì do khác vùng miền cách giảng dạy chưa có sức hấp dẫn,0
cần bổ sung thêm các game vào môn học học anh văn không có game nói thật ra rất dễ chán buồn ngủ,0
- Việc thay đổi lịch học và dạy bài mới trên lớp sẽ không gây ra sự khác biệt nhiều lắm.,1
Bên cạnh đó còn có rất nhiều điều cần phải học,1
cần tận dụng thời gian lên lớp đỡ lãng phí,0
dạy tận tâm,2
do học khoa khác nên dạy không theo kịp tiếng độ chương trình,0
nội dung thi khó không chuyên,0
phòng lab kém buổi đầu tiên không cài buổi thứ cũng không cài buổi thứ cũng không đi thực hành,0
làm một phần chủ yếu khá giỏi cảm thấy chán trong việc lên lớp,0
dạy nhiệt tình tận tâm,2
dạy quá phân biệt trình độ trong lớp không thích các yếu,0
tích cực trong giảng dạy,2
hướng dẫn làm bài tập thực hành cụ thể,2
có nghỉ không dạy nên thông báo trực tiếp lớp trưởng lớp toàn nhà xa lên trường phải ngồi đợi cả buổi không thấy vào lớp lúc mới biết được nghỉ,0
"Trong một số trường hợp, thầy dành rất nhiều thời gian cho việc chia sẻ và phần học tập bị thu hẹp lại nhưng kết quả không quá khác biệt.",1
đề nghị dạy lập trình trước hoặc song song môn học này,0
nghĩ nên thi thực hành thay lý thuyết cuối kỳ,0
kiến thức truyền đạt,1
đến cuối kỳ chỉ cần mắc một sai sót nhỏ rớt môn,0
dạy truyền cảm,2
rất nhiệt tình truyền đạt hay,2
Tôi không đồng ý.,1
ngôn ngữ thực hành các bài lab từng bộ môn nên được bị trước,0
giảng rất vui vẻ cuốn hút hướng dẫn bài tập chi tiết,2
dạy rất hay,2
Tôi đánh giá cao bạn,1
cực nhiệt tình thương giảng dễ hiểu,2
không có gì phàn nàn,1
cần cải tiến đổi mới thực hành hình thức,0
dạy rất nhiệt tình giờ học rất vui thoải mái nên dễ tiếp thu hơn,2
nên có phần thực hành về tìm hiểu phần cứng các bộ phận trong máy tính,0
buổi thực hành không đi buổi nào,0
Câu chuyện về anh văn,1
cô dạy còn hơi nhanh nhưng tụi em vẫn hiểu .,1
dạy chủ động liên tục giới thiệu đường lối công nghiệp,2
Giảng viên yêu cầu sinh viên thực hiện một loạt bài tập.,1
môn học rất bổ ích lý thuyết rất nhiều nhưng trong những chương giảng dạy cũng nên có một vài bài tập đơn giảng vận dụng bài tập vào thực tiễn thông qua bài tập có thể rút ra kinh nghiệm làm việc,0
tương tác,1
gợi ý tỉ mỉ đến từng chi tiết,2
dạy rất tốt cảm ơn,2
quản lý lớp tốt truyền đạt hay,2
Có một số lúc thầy còn nóng giận hơn bình thường trong công việc.,1
hiểu tâm lý nên mọi người trong lớp đều chú ý giảng bài bắt được các công nghệ mới áp dụng các bài tập một cách khoa học,2
có lẽ nên ra nhiều bài tập về nhà hơn trong lớp,0
chỉ dẫn nhiệt tình giải đáp thắc mắc kịp thời,2
không có ý kiến về mục này,1
môn này gắn thực tế nhiều nên có những các tương tác trực tiếp nhau,0
dạy tâm huyết quan tâm,2
dạy còn hơi khó hiểu,0
hòa đồng thân thiện,2
truyền đạt tốt liên hệ nhiều kiến thức bên ngoài,2
dạy rất hay chi tiết,2
rất nhiệt tình vui tính,2
số lượng lớp nên tối đa môn học cá biệt cần sự tương tác thực tế,0
những ví dụ dễ hiểu cụ thể,2
Học theo cách của thầy,1
nên thông báo về thời gian báo cáo đồ án sớm hơn còn phải sắp xếp thời gian các môn học khác,0
liên hệ nhiều đến thực tế,2
Thời gian đã đến với chúng ta năm 2014.,1
luyện đọc rất tốt,2
có thêm nhiều tài liệu thực hành hơn,0
nhiệt tình gần gũi,2
đảm bảo đúng thời gian lên lớp,2
- Có bất kỳ dấu hiệu nào?,1
Bản thân em thấy mình có khả năng học môn này mà không cần sự hỗ trợ từ bên ngoài.,1
rất tốt rất nhiệt tình chu đáo,2
cung cấp tài liệu rất đầy đủ tận tụy,2
mong các môn thực hành cách tuần chuyển thành hàng tuần,0
bài tập lớn trong môn học đóng góp phần lớn điểm yêu cầu phải có laptop cỡ trung trở lên thực hiện nhận diện giọng nói nhận diện chữ viết game phát triển game điều này gây khó khăn không có điều kiện yêu cầu tìm hiểu các chưa từng nghe tên làm bài tập,0
Buổi học diễn ra vào buổi sáng,1
nâng cao chất lượng cơ sở vật chất trường,0
nên cập nhật mới tài liệu ví dụ video học tập hay bài giảng chẳng hạn,0
giảng bài tận tâm rất nhiệt tình,2
dạy môn này rất truyền cảm rất thích môn này,2
up tài liệu rất chậm,0
chấm điểm khó phải kết quả đúng mới chấm điểm không chấm điểm từng bước,0
hình thức thực hành dường không có tác dụng,0
có suy nghĩ không tin các bài tập do chính nữ làm,0
Hàng ngày lấy lại micro thì phải vắt thêm loa.,1
tiếng anh,1
dạy rất dễ hiểu tận tình hướng dẫn,2
cơ hội tham gia đồ án thực tế,2
Cảm ơn thầy nhiều lắm rồi,1
không áp lực khi học tập .,1
mong vui tính gần gũi hơn,2
rất nhiệt tình trong quá trình giảng dạy luôn khuyên nhủ học bài làm bài tập,2
giảng khá kỹ nhưng hơi chậm,0
nhiều lúc giảng bài hơi nhỏ mong cố gắng giảng rõ hơn có thể tiếp thu một cách tốt nhất bài giảng,0
dạy khó hiểu thực sự chưa hiệu quả,0
trong học kỳ này nó không được cố định nên có thể nhiều khác đã bỏ lỡ bài nộp,0
"thưa , không có ạ .",1
đề thi sử dụng dịch nửa tiếng anh nửa tiếng việt,0
giảng bài dễ hiểu tận tâm,2
giảng rất dễ hiểu,2
- Giả thuyết 2 là một cách tiếp cận để hiểu rõ hơn về hiện tượng hoặc vấn đề đang được xem xét.,1
mời doanh nghiệp về dạy khá thiết thực,2
dạy rất nhiệt tình cập nhật thường xuyên những công nghệ mới trong giảng dạy,2
không điểm danh .,1
nên có thêm ví dụ cụ thể từng dạng toán thay chỉ sửa bài tập,0
rất tận tâm nhiệt tình trong công việc giảng dạy rất ấn tượng,2
giảng dạy nhiệt tình truyền đạt kiến thức tốt,2
giảng kỹ liên hệ thực tiễn rõ ràng nhưng tiếc giọng ấm áp quá học trưa nên dễ buồn ngủ,0
Thành phần nhóm chọn làm chủ đề đồ án,1
được học cảm thấy hài lòng hơn hẳn những trước,2
